,content,score
1544,Sangat membantu untuk belajar investasi dan menabung.,5
1545,"Status nya ""order jual berhasil"" tapi uang pencairan belum di transfer ke rekening. Harus nya tunggu sampai uang berhasil di transfer ke rekening nasabah dulu, baru status order berhasil. Tolong perbaiki.",1
1546,Can't unsubscribe email notifications lol,2
1547,"Kode referral: ( arafi ), cashback 25k",5
1548,ok,5
1549,I am learning and this app really provide method to invest. The design of layout and menu is simple and easy to understand. I hope this will be a good investment. 👌,5
1550,"Mantap,buat yg baru mau daftar bisa pakek code referal saya ( putrawan ) Makasi",5
1551,Nice,5
1552,"best apps for new investor, seriuosly",5
1553,Gk bs buka akun tanpa bikin akun bank jago tanpa pemberitahuan. Hebat,1
1554,Good App.,5
1555,"Aplikasi investasi Reksadana yang mudah di pahami, dan memiliki fitur yang sangat lengkap.",5
1556,"Bibit habis ku update kok makin aneh ui nya ya. Crash gitu. Ada beberapa tampilan yang nggak muncul dan mengganggu banget. Jadi terkendala waktu make nya. Btw ini aplikasinya udh saya reset, sampe install ulang",2
1557,"mudah di pahami, transaksi mudah, keinginan menabung jadi meningkat",5
1558,"Beli RD dinyatakan berhasil tgl 5 Agustus jam 20.00 tapi sampai tgl 6 jam 15.00 belum masuk portofolio. Jedanya lama sekali. Begitu juga dengan harga beli. Kita lakukan pembayaran saat harga RD misal 1,000 tapi saat pembelian dinyatakan berhasil setelah 12-36 jam, harga udah naik 0.5-1.5%. & sebaliknya saat jual... rugi banget buat investor... jadi in average untuk setiap RD, investor akan alami rugi 2%, harga naik 1% saat beli, harga turun 1% saat jual. Merugikan!",1
1559,"setelah menghubungkan bibit dengan bank jago di iOS, di android ngga sync padahal akun nya sama, di android statusnya masih blm terhubung",5
1560,"Mudah digunakan dan cocok untuk pemula. Ada robo advisor yang memilihkan reksadana sesuai profil resiko kita. Dan dapat bonus 25,000 dengan kode referal (r e k s a r o b o 2 5) - tanpa spasi",5
1561,Crashed,1
1562,coba coba,5
1563,Force close in my smartphone Redmi Note 8 Pro Miui 12,5
1564,Easy to use,5
1565,"bulan ini mendadak untuk pembayaran via gopay ga ada verifikasi ke aplikasi gojek nya, lgsg main bayar aja, gatau dapet cashback atau engga. ganti2 ux bikin pengguna jadi bingung terus kaga dapet dah itu cashback. ga jelas",1
1566,Cocok untuk pemula. Kalo udah punya tujuan buat nabung tinggal pakai fitur goal setting. Udh dikasih rekomendasi nabung berapa tiap bulan,5
1567,Nice application keep innovating Bibit!,5
1568,Best app for investment!,5
1569,"Aplikasi Reksadana terbaik, bisa buat bnyak portfolio berdasarkan tujuan investasi dan tampilan yg sangat memudahkan user",5
1570,"mantul, baru nyobain reksadana ga pake ragu 👍👍",5
1571,Keren bngt.. investasi termudah untuk pemula,5
1572,"Thankyou bibit, gampang bgt pake nya, investasi reksadana buat pemula jadi gampang",5
1573,"Aplikasi Bibit makin canggih, makin simple. Ramah buat investor pemula, ada FAQ nya yg sangat membantu.",5
1574,"Gratis Rp25ribu pakai referral code: gc25ribu Aplikasinya bagus, banyak promo top up, UI nya clean, simple dipakai.",5
1575,"UI is simple and user friendly. When i have a problem, technical support is quickly solve the problem, really helpful. I enjoy using this app !",5
1576,Masih belum bisa dihubungkan ke gopay.,3
1577,"Aplikasi sering error, suka tiba2 logout sendiri dan harus login berkali-kali mendapatkan OTP cukup lama baik melalui email missed call maupun SMS.",1
1578,"Tolong diperbaiki sistem pembayarannya. Saat beli reksadana dan pembayaran gojek, itu yg betul langsung terbeli atau buka app gojek dulu? Kok kadang langsung terbeli tanpa buka app gojek, kadang harus buka app gojek dulu dan masukkan pin. Kalau cara bayarnya ganti2, susah buat dapet cashbacknya!",1
1579,"Lengkap dan tampilan mudah dipahami, buat investor bibit baru jangan lupa masukan referal ""jumboasik"" ya biar dapet cashback 25rb dari bibit. Makasih salam cuann",5
1580,Please fix the dark mode.. There is the white part and the text is also white,4
1581,"Aplikasi yang sangat mudah untuk pemula seperti saya, investasi pun aman dan terpercaya, yang lain buruan dowload aplikasi ini untuk mulai berinvestasi, jangan lupa masukin refferal ""vochercashbak"" untuk dapetin cashback Rp.50.000,- untuk modal investasi kalian:)",5
1582,"Ane suka aplikasinya, simpel dan mudah dimengerti, baru belajar investasi selama 3 bulan,, Makasih..",4
1583,Really cool app. Nice interface,5
1584,Selalu ngga niat ngasih promo,1
1585,"Giliran beli cepet bgtt transaksi nya, tapi giliran jual LAMA BANGET TRANSAKSI NYAA... Mungkin harus jual di posisi rugi baru cepet atau jual nya harus 1M biar cepet transaksinya. Bad experience in investment aps.",1
1586,"Saya sudah registrasi dan di minta untuk upload kelengkapan dokumen, saya juga sudah upload sesuai instruksi CS tapi aplikasi tidak responsif, padahal data sudah saya siapakan untuk di upload tp data yg di pilih tetap tidak muncul di app dan submit pun tidak bisa. Saya ulangi dengan hapus chace dan login ulang. Tetap tidak bisa juga... I give up !!!",1
1587,"Promo cashback tidak jelas, proses sampai akir didiemin tiba2 udah dicharge aja tanpa apply promo. Perbaiki systemnya !! Beritau pelanggan kalau promo tidak bisa dipakai atau gimana, tidak asal charge aja.",1
1588,"kalo ga dapet promo. harusnya gausah ngasih info ""you got Rpx cashback"" bikin php. klo apply promo tp quota abis dibikin batal aja jgn malah dilanjut terbayar. berkali2 kayak gini. tolong perbaiki dong.",1
1589,"Sistem connect dengan Gopay wallet sangat buruk, transaksi error tidak bisa di cancel & refund, live support dan penyelesaian pengaduan tidak memuaskan",1
1590,aplikasi ini bagus,5
1591,The slowest withdrawal process,1
1592,Baru daftar dan sudah masukin code referal trus dpt apa ya? Coba beli dulu deh klo bagus baru di update lagi star nya,1
1593,Gunakan kode referral 👉(raatlqy) 👈untuk dapatkan cashback 25k👍.,5
1594,A good choice,5
1595,yuk pake kode ini ropsilb. terimakasih,5
1596,Tambahkan fitur cancel pembelian,1
1597,Lumayan,5
1598,ga jelas,1
1599,"Aplikasinya beginner friendly banget, mudah dimengerti dan UI-nya enak dilihat. Tapi menurut saya akan lebih bagus kalo ada dark mode 😁",5
1600,so far it's worth. feel safe ya pakai bibit fitur keamanan lengkap. fitur analisis juga bagus dan simpel bgt jd ga ribet. ditambah beberapa fitur lain yg kece. kalau bisa ke depannya mohon ditambahkan dark mode atau tema lain biar makin seru hehehe. makasi,5
1601,"Almost perfect, cuma satu lagi nih. Kenapa akun bank Jago saya ke detect Rp. 0 terus ya",4
1602,Notification is becoming to much,5
1603,Gunakan referral code ini ya ( andikst ),5
1604,apps mudah digunakan,5
1605,"langsung coba ajaa. yg jelas aman dan resmi. Mw untung gede? tp resiko rugi tinggi, modal bisa fokus di saham 70% obligasi 20% pasar uang 10%. Mw sedeng2? resiko juga sedeng, modal bisa dibagi rata saham 45% obligasi 45% pasar uang 10%. Mw ga bakal rugi? untung kecil juga resiko sangat kecil, modal bisa fokus dipasar uang, komposisinya yaitu saham 10% obligasi 20% pasar uang 70%. ini kode refferal saya ya (y7hhmeg)",5
1606,"Untuk pemula ini reccommended. Paymentnya juga efisien karena bisa pakai Gopay. Sayangnya, tidak bisa modif kombinasi portfolio reksa yang sudah ditentukan Robo, hanya bisa ganti proporsi obligasi, pasar uang, dan sahamnya.",4
1607,Investasi ga ada cuan2nya sama sekali. Naruh duit 5bulanan minus terus. Udah komplain ke cs jawabannya ga memuaskan. Auto uninstall. Mending invest di tempat lain,1
1608,"Maaf tapi di dalam aplikasinya kacau tidak beraturan, udah install ulang tp ttp aja :(",1
1609,Bagus,5
1610,"overall bagud banget ni. apa lagi buat pemula, sangat mudah dimengerti dan dipahami. tapi, request juga buat developer nya, buat juga opsi untuk top up Reksadana melalui E-wallet Dana juga. karena pengguna Dana cukup banyak di Indonesia termasuk saya sendiri. terima kasih.",5
1611,Good,4
1612,Bibit kenapa gak bisa login ya.. dibuka aplikasinya susah.. download ulang ttp gak bisa dibuka..,2
1613,"buat investor pemula macam saya, bibit benar2 membantu memilihkan instrumen investasi sesuai profil yang saya inginkan...mantab👍👍",5
1614,"gampang dipahami, informasi juga sudah sangat jelas",5
1615,"Layak dicoba nih. Terutama bagi pemula. Sejauh ini tidak ada masalah dalam penggunaannya. Respon chat bagus. Mungkin yang perlu diperbaiki proses loading app yang dirasa lumayan berat, jika dibandingkan app sejenis. Bagi yang mau coba, silakan masukan kode referral: goyeah",5
1616,"Ini aplikasi investasi terbaik yang sejauh ini aku coba sih, interface aplikasinya juga simple banget sampe temen-temen terawamku paham makenya, sistem pembayarannya juga selalu mudah diakses. Supportnya juga selalu respon. Sekarang ada fitur notifikasi ahli waris juga, thank you for that, semoga kedepannya fitur ahli waris juga bisa mensematkan sedikit pesan untuk si ahli waris, terima kasih Bibit!",5
1617,USE THIS REFERRAL CODE: yukkpakai,5
1618,"makasih ya bibit, masalah sudah teratasi. Terima kasih sudah mendengar keluhan user🙏",5
1619,"stelah apdet bibit versi terbaru, akhirnya pembayaran dgn gopay sudah konek lg, 👍",5
1620,Aplikasinya kenapa ya? Error atau gimana? Kok layar di app bibitnya patah2 gitu jadi susah mau ngapa ngapainnya,4
1621,Mau dapet cashback? Masukkan kode referral ini saat pendaftaran: ekanurain,5
1622,This application is getting slow,2
1623,Aplikasi yang mudah digunakan. Investasi bisa dari mana aja kapan aja. Good👍,5
1624,👍🏼👍🏼👍🏼👍🏼👍🏼,5
1625,"begitu disuruh selfi pakai ktp, aku langsung cancel dan gak jadi lanjut. dan langsung uninstall. takut foto bareng ktp kita disalah gunakan untuk melakukan pinjaman online oleh oknum. heran sekali kenapa harus foto selfi dg ktp sbg persyaratannya? kan kita setor uang di bibit, bukan pinjam uang. aneh.",2
1626,Easy to use,5
1627,"User friendly apps for new investors, transaksi beli & jualnya mudah dan sudah sesuai dgn prosedur mutual fund invest, good job Bibit!",5
1628,investasi menjadi mudah Dan menyenangkan,5
1629,"Use code referral ""itsokaytotry"" for 25k cashback",5
1630,Waiting for dark mode,4
1631,"Udah mulai invest reksa dana dari awal tahun 2021, dan hanya aplikasi bibit yang menurutku mudah untuk dimengerti sebagai investor pemula. Tadi sempet baca bad review juga karena penjualan di bibit tergolong lama, setau ku itu memang kebijakan dari OJK ya, yang tunggu dana nya cair bisa jadi 7 hari, jadi aku rasa itu bukan kesalahan dari aplikasi ini sih.",5
1632,This application is very helpful for my financial planning. Recommend app to invest in mutual funds.,5
1633,"Aplikasi terbaik untuk investor pemula dengan bantuan rekomendasi robo. Cara registrasi yang mudah, pembelian dengan metode pembayaran yang cukup lengkap, serta proses penjualan yang singkat dengan estimasi waktu maksimal 7 hari sesuai prosedurnya.",5
1634,Sistemnya lancar dan sangat bermanfaat buat nabung rutin dengan return lebih besar dari deposito. CASHBACK 25.000 masukkan kode referal : ochaxbibit,5
1635,Saya pakai kode referal : GopayReksa dan dapat extra saldo.,5
1636,"The app provides access to many portfolios, including ones that have ""Syariah"" preference",5
1637,"Sangat bermanfaat untuk menabung jangka pendek dan jangka panjang, dan mempersiapkan keuangan secara benar untuk masa depan",5
1638,mantap,5
1639,tidak bisa terhubung dengan bank jago. tim terkait lelet karena complain berhari-hari tapi tidak ditangani dengan cepat. sampai sekarang masih tidak ada perbaikan aplikasinya.,1
1640,Adain mode gelap dong aplikasi bibit biar pas cari2 reksadanan enak,5
1641,easy to learn,5
1642,Very user friendly,4
1643,"After I signed in, I invited to lot of reksa dana TELEGRAM GROUP that put 'BIBIT' in their name without my permission. Are u guys selling users data? Or u didn't have good security standard there?",1
1644,"Tampilannya kepotong potong terus, jadi susah mau milih milihnya",2
1645,Suka banget sama app nya!! Semoga bibit bisa ada terus sampai 10 atau 20 tahun mendatang!!,5
1646,This app is friendly to beginner investor,4
1647,UI very nice. Terbantu banget buat nabung,5
1648,"cashback (kode referral) saat registrasi tidak cair; ketika ditanyakan ke Admin: disuruh screenvideo saat registrasi.. isi data pribadi, tp screenvideo 😅😅",1
1649,SHEEEEEEESH,5
1650,Dark mode pleaseee,5
1651,"simple ui and overral nice ux, love it ~",4
1652,"Put referral code ""cuanbarengmou"" biar dapet cashback 25k!!!",5
1653,Gak ada untungnya gw make platform ini,1
1654,hati2 iming2 nilainya seolah2 keuntunganya besar tapi sangatlah kecil. bahksan ketika dijual bisa 25% dari value market dan modal anda.,1
1655,Alhamdulillah... 🙏🏻🙏🏻🙏🏻,5
1656,"Baru akan mulai pakai bibit. Menghubungkan account bibit dan bank jago ngga bisa2.. Sudah di suruh uninstall dan insta lagi juga tetap sama. Kl permulaannya saja sudah bermasalah, bagaimana mau lanjut...",2
1657,The worst app ever. I already complained a couple times but they didn't give me any follow up.,1
1658,OK udh gak susah login.harus clear cache dulu di settings matiin wifi br bisa login lagi. Pertahankan!,5
1659,Good,5
1660,simple dan mudah dipahami bagi pemula,5
1661,Baguss banget,5
1662,"simple and user friendly, promo tiap bulannya lumayan",5
1663,"Robo advisor kurang fleksibel. Padahal fitur sekali beli untuk 3 jenis reksadana ini bagus tapi persentasenya terlalu kaku. Butuh fitur sejenis tapi yg persentasenya bisa keinginan sendiri, ga make preset",3
1664,Good inves resakdana,5
1665,Bibit buat tampilan dark mode pasti lebih elegan 😁,5
1666,"Tertarik untuk memulai investasi kamu bisa mulai investasi di aplikasi reksadana Bibit, kamu bisa pakai kode referral saya untuk kamu mendapatkan cashback reksadana Rp 25 ribu, ini kode referral saya: loisfer.",5
1667,Baguss banget,5
1668,best reksadana app...,5
1669,Great,5
1670,Referal : TIKABBT Mulai tumbuh sama2 😊👍🏻,5
1671,All Clear 👍ontime.,5
1672,nice apps to help us at financial plan,5
1673,manfaat banyak,5
1674,"Akhirnya 5 bintang kembali Udah ada bank, dan itu bank jago y super jago Makasi y bibit Transaksi bakal jadi lebih mudah 😘😘😘",5
1675,"Udah 3 hari ini ga bisa buka app, selalu stuck di halaman awal. Padahal udah diupdate dan sinyal jg lancar. Gimana ini...?",3
1676,"So far pengalamannya menyenangkan, fitur baru yg bisa connect dgn Bank Jago jg bagus, tp kenapa gabisa connect dgn user Jago yg existing ya? Saya sudah pakai Jago tp waktu mau menghubungkan dengan Bibit malah yg muncul adl page untuk buat akun baru",4
1677,Excellent,5
1678,one of finance apps i loved! UI nya gampang dimengerti,4
1679,Platform yg bagus untuk membangun habbit investor 👍,5
1680,User friendly banget apalagi utk investor pemula macam aku. Pake kode voucher 25bibitku untuk cashback 25ribu ya ..,5
1681,Good app for learning investment and practice 👍🏻👍🏻👍🏻,5
1682,Bagus dan simple,5
1683,"Daftar, dan masukan kode referral ""rendang"", dan dapatkan cashback 25rb.. Lumayan untuk makan siang.. 😄😄",5
1684,"Nice and useful app. Please develop so that we can buy more than one product for one time payment,just like when we want to buy robots recommendations,but now we can choose personally how much for each product",5
1685,Very fast registration!,5
1686,"Dapatkan casback 25rb dengan kode cashbackdualimarb Setelah memakai kode tersebut, saya juga akan mendapatkan 25rb. Tidak ada yang dirugikan",4
1687,bagus bangeet. mudah untuk pemula seperti aku. fitur2nya gampang dicerna juga tampilan UI/UX nya tidak berantakan👍🏽👍🏽,5
1688,Be careful with its cashback promo with gopay. I had been tricked out twice (clearly not a coincidence) . Never use this app again,1
1689,Good for beginners!,5
1690,"Untuk interface oke banget, tapi sayang, saat jual nilai yg bakal dicairkan beda banget dgn kenyataan, detil kenapa jadi berkurang selain biaya transfer beda bank masih abu abu.",3
1691,kenapa aplikasinya glitching terus ya dari sebulan yang lalu?,1
1692,mantappp pakai kode referal: REKSAAA,5
1693,good,5
1694,Keren sih aplikasinya. Trus bisa buat saya rajin investasi tiap bulan,5
1695,gud,5
1696,"Seharusnya pengguna tidak otomatis diarahkan ke Robo Dana Pensiun, karna setiap nasabah punya tujuan yang beda. Semoga bisa diperbaiki lagi ke depannya, mengingat pengguna baru akan terus bertambah.",2
1697,"Aplikasi investasi yang bagus apalagi buat investor pemula , gunakan kode referral ""doyourbest"" Buat dapetin cashback 25k ! ~",5
1698,"Goood app, use code ariari to get 25k voucher",5
1699,Penggunaan cukup simpel dan mudah dipahami. Minta tolong di improve dong biar bisa di dark mode hehe,5
1700,User friendly app,5
1701,"dari kemarin, berkali kali mau buka bibit gak bisa dan stuck di logo bibit",2
1702,Simple and easy to learn,5
1703,Saldo ngurangg terus udah mau setahun,3
1704,Sangat bagus ((*hhydawb*)),5
1705,Alat invest saham terbaik,5
1706,Great apps,5
1707,Cashback 25K with ((Tabungan88)),5
1708,Ok the Best,5
1709,"+5 kalo bs ad mutasi jelas per akun reksadana, kalo skr kudu swadaya make Excel",4
1710,Mudah digunakan dan fleksibel,4
1711,Yuk mulai investasi sampe tetangga mikirnya kamu pesugihan💕,5
1712,"Bibit investasi terpercaya aplikasi menjajikan buat masa depan gunakan kode referal "" asprito "" biar dapet cashback 25rb",5
1713,"Great app bibit, tapi di aplikasinya kok bug terus :"") semoga bisa diperbaiki ya",5
1714,reksa aman dengan bibit. dapatkan cashback dengan referralcode BIBITGAJIAN25,5
1715,"Mudah digunakan untuk pemula yang tidak mengerti sama sekali tentang reksadana dan komponen-komponennya. Alangkah baiknya kalau dalam tren kenaikan/penurunan nilai aset per lembar dibuat juga per minggu dan tidak langsung loncat dari per hari menjadi per bulan, terima kasih.",5
1716,"saya mau tambah akun bank lain tapi bukan atas nama saya malah gak bisa, masa harus bgt pakai nama pribadi?? buat apaa saya bikin rek baru cuma biar nama nya samaa haduu, pliss tolong di update lagii yaa. mungkin bisa di compare sama sistem shopee yang bisa add akun bank baru tapi bukan atas nama kita. yaa saya tau ini bertujuan agar tidak sembarang org bisa add akun bank, tapi tentu bisaa kan kalau ditambah sistem keamanan yang lebih sulit supaya bisa mencapai tujuan tsb. terimakasih",1
1717,"Rate satu dulu biar cepet ada pengembangan 1. Tambahin fitur wallet 2. Tenaga kerja CS nya di tambahin biar g lama balas chat 3. Proses switch produk dari obligasi A ke saham B harus nya bisa lebih gampang. Klo pun g bisa secara langsung, minimal bisa di buat estimasi nilai dan volume nya berapa. Tapi ini harusnya bisa di atasi dengan adanya Wallet di bibit 3. Masi sering juga minta login ulang, ga apa sih, cuma risih aja 😂 4. Metode pembayaran digital yang lebih banyak dengan Cashback 😘",1
1718,"Please use my referal code ""virainsani"" Ayo gunakan kode referalku ""virainsani"" ya ^^",5
1719,nice,5
1720,Madeppp,5
1721,"Nabung cuy, pake kode referal "" watzitoya "" ketika daftar untuk dapat cashback 25k Rupiah saat melakukan investasi pertama. Terima kasih.",5
1722,"Langsung potong saldo gopay aja mentang"" sudah di link, tidak ada konfirmasi pemakaian promo, biasa harus masukin pin dan saya double check untuk promonya, ini langsung potong saldo aja.",1
1723,Platform reksadana terbaik yang pernah di ciptakan di sejarah manusia,5
1724,"Very Good Application for inexperienced investment, download and use 𝗴𝘂𝗱𝗮𝗻𝗴𝗯𝗶𝗯𝗶𝘁 to get 25.000 IDR casback.",5
1725,"Menurut saya Bibit itu apps yg sangat keren, kita bisa berinvestasi dgn sangat mudah, hanya mulai 100rb sdh bisa investasi. Pilihan RDN nya juga cukup banyak. Tidak ada biaya admn juga, simple, easy to access bahkan bagi pemula sekalipun, saya bisa punya beberapa RDN untuk beberapa keperluan sekaligus. Bibit apps yg cocok utk siapa saja, mahasiswa, pelajar atau bahkan ibu rumah tangga spt saya sekalipun. Keren 👍🏻 Jangan lupa kalau mau coba invest di Bibit, bisa pakai kodeku OlineXBibit ya.",5
1726,Kok appnya susah dibuka ya pake koneksi By.U.,3
1727,"Mantapp APK nya untuk anak muda Yang mau jadi investor Dan sukses,👍🏻",5
1728,Enak sih. simple sih. Tapi ada biaya adminnya,2
1729,Refferal code. Kitabisadotcom. get cashback 25k.. silahkan coba.. mksh,5
1730,good reksadana apps,5
1731,"I just about to start using this platform. But I don't why, everything I tried to open the app, it takes a long time. Please fix it. Thank you.",3
1732,"ayooo teman-teman mulai belajar investasi dari bibit, jangan lupa kalo uda pake bibit masukin kode referral ini yaa ""pakebibitgood"" nanti bakal dapat cashback loh",5
1733,Very easy to use platform compared to others,5
1734,"Overall cukup bagus bagi pemula, Namun saran dari saya, mungkin untuk metode penarikan/jual dana investasi harusnya juga lebih mudah seperti saat akan membeli reksadana dimana user bisa menggunakan transaksi melalui aplikasi: GoPay dan Link Aja. Saya harap kedepannya bisa direalisasikan, yah. Karena kalau ditarik ke rekening terkadang harus terpotong lagi dengan biaya admin bulanan bank atau biaya limit saldo minimal. Terima kasih",3
1735,Setelah di update gk bisa dibuka,1
1736,mudah untuk nabung diatas deposito,5
1737,Bagus untuk pemula yang ingin belajar investasi,5
1738,Mudah untuk digunakan,5
1739,Amazing,5
1740,Mudah dan aman untuk digunakan,5
1741,bikin semangat nabung,5
1742,"The new update rendered it unusable! the UI is broken, unresponsive, and all over the place! Please fix this soon. This app used to have a good user experience.",2
1743,Use this code : b8kjklr And get 25k,5
1744,Nice app,5
1745,Dark mode feature would be nice,4
1746,easy to use,5
1747,"Sudah bisa di install,dan bisa digunakan semestinya. Komentar sebelumnya yg berisi keluhan saya hapus ya Bibit. Terima kasih..",5
1748,Good,5
1749,Terima kasih sukses selalu untuk bibit,5
1750,"di kasih list harga / unit nya dong, di menu explore reksadana jadi gak harus pencet satu satu buat lihat harga /unit fungsi filter juga abis di pencet back kereset mulu, mesti filter terus. susah juga kalo mau mempelajari satu satu berdasarkan filter nanti saya kasih bintang 5",1
1751,"Gunakan kode referral \ saeraseven / dapatkan cashback Rp 25.000,-. Buktikan...",5
1752,Cara bayar pakai cashback gimana ya? Saat pembayaran ga ada pilihannya,4
1753,"Aplikasi investasi yang bagus, make nya jg gak pusing",5
1754,Pake kode referal dapetcuannn supaya dapet cashback 25k bisa untuk investasii,5
1755,lumayan buat invest pemula,5
1756,"Mohon maaf sebelumnya, tapi untuk tampilan aplikasi bibit untuk android vivo y18. Terdapat error, fitur di dalam aplikasi sama sekali tidak bisa dilihat setelah adanya update. Mohon bantuannya.",3
1757,"Good App, but must give info nominal redeem for customer.",4
1758,"love this apps very much, ui/ux incredible user friendly 👍",5
1759,"Bagus, tambahin dark mode dong",5
1760,good,3
1761,ayo bergabung dapet cashback 25rb caranya masukin kode referral ini yaa... idgggbt,5
1762,"Sayang sekali, Update-an terakhir malah nge-bug UI nya. Tampilan terpotong-potong. Segera diperbaiki. Terimakasih.",3
1763,"Simple, easy for beginner to understand",4
1764,Okee,5
1765,"Tumbuh bersama bibitkithz , cashback 25000",5
1766,lop bet dah cocok buat pemula 🥰,5
1767,easy to use,5
1768,code referal : wishnu untuk 25k,5
1769,👍👍👍👍👍,5
1770,Fitur syariah kok udh ga ada ya?,5
1771,Mantap... Bakso goreng kelapa Gading,5
1772,"Appnya sudah bagus sekali. Saran saya, tambahkan fitur nyalakan dan matikan robo advisor untuk masing2 portfolio. Terima kasih!",4
1773,GET YOUR CASHBACK 25K INPUT KODE *RELUCK*,5
1774,Mantap juga Untuk nabung rutin buat investasi jangka panjang. Tolong tambahan pembayaran via Aplikasi Dana,5
1775,Gunakan Code Referral ( ( MTP32 ) ) untuk mendapatkan cashback dan keuntungan lainnya. Jangan lupa selalu belajar untuk mendapatkan keuntungan yang berlipat 👍,5
1776,Good. You all can a wear code referral me (cwsaty3) ✌😄,5
1777,"Previous problems resolved, would still be great if we can keep track of our progress. Perhaps a history function to track the daily gains or losses",4
1778,"Tampilan aplikasi mudah dipahami, yang biasanya ketagihan jajan sekarang jadi ketagihan top up reksadana gara2 bibit.. soalnya semudah itu prosesnya..great job bibit ❤️ nitip kode refferal boleh yaa A I R A F I Y A (tanpa spasi)",5
1779,Nice user interface..easy to use. Kode referral : tsvnjhu,5
1780,Good apps,4
1781,"Aplikasinya ga bisa dibuka. Udh report jg ke customer service tp ga membantu sm sekali. Disuruh nunggu smp 1 bulan, masih ga ada perbaikan. Bilangnya dalam pengecekan tim terkait tp masa sampe 1 bulan ga ada progress? Saya ga di follow up apa-apa. Mengecewakan lah customer servicenya.",1
1782,Yuk bisa pake kode referral: delapanjuni Untuk dapetin cashback 25k,4
1783,"Menurut saya agak minim informasi ya. Saya mencoba memasukkan dana utk mencoba prosea pembelian san penjualan. Tetapi reksa dana tidak bisa dijual. Sudah mencoba bertanya kpd cust service. Dan ternyata ada persyaratan yg tidak/tidak terlihat dicantumkan. Sy biasa pakai aplikasi sebelah, dan kemungkinan setelah ini akan uninstall bibit dan kembali ke app sebelah. Terimakasih",2
1784,masukin kode referral xdadvex buat dapet cashback IDR 25k,5
1785,"Saya pengguna bibit kira2 1 tahun. Saya suka konsepnya dan ini memudahkan saya sebagai pemula. Namun kenapa aplikasinya akhir2 ini sering error? Saya sampai hrs uninstall-install berkali2, error terus. Selalu muncul notif ada skrup yg lepas atau aplikasi tertutup sendiri. Padahal dulu baik2 saja. Saya jd khawatir saya tdk bisa beli/jual rd saya. Tolong segera diperbaiki. Terima kasih 🙏",3
1786,Can create goal plan in portofolio. The Most : Bank virtual account is free of charge.,5
1787,nice apps . kode referral : adithsyptra,5
1788,Bibit adalah reksadana yang oke banget buat pemula kaya aku. Tampilannya oke dan mudah dipahami hingga buat aku percaya buat invest di sini :),5
1789,good,3
1790,"Tidak banyak saham yang bisa dibeli, tidak ada BCA atau Antam.",1
1791,"Use referral code, D A N A 2 2 ,no space if you wanna cashback 25k,a very useful application for saving in this applications is very good,I like it app very easy to use good",5
1792,#1 The money withdrawn takes a quite long time and I suggest the speed up withdraw process. #2 the chart graph is not move as actual market movement. Its like for estimation only,3
1793,really good,5
1794,so far so good,5
1795,bisa dipake buat semua kalangan dri yang ilmu 0 ttg investasi,5
1796,"Aplikasi yang cocok dan pantas untuk pemula belajar investasi. Untuk mendapat cashback, gunakan kode refferal 'andredido' di aplikasi Bibit kamu. Salam invest!😁",5
1797,Tambah Danamas Pasti dong,3
1798,easy,5
1799,app yg memudahkan untuk beli reksadana,5
1800,Great,5
1801,"Aplikasi bibit knp sering error ya. Kyk tulisannya kepotong. Gambarnya tidak jelas. Pdhl udh di uninstall dan install ulang, tpi knp gada perubahan ya ini🤔🤔",5
1802,nice experience,5
1803,bagus untuk pemula yang baru belahar dalam berinvestasi. good app for new bie,5
1804,Rekomendasi bagi yang masih pemula dalam investasi. terdapat panduan dan bantuan dalam investas..,4
1805,"Pendaftaran rumit dan berulang ulang, bad service, slow respond, nab tidak diupdate, transaksi tidak selesai sesuai kebijakan bibit",1
1806,"UInya ringan, simpel tapi jelas. proses juga sesuai SLA",5
1807,"sebenarnya saya sangat suka dengan app ini karna selain desain nya bagus, cara penggunaan dan aplikasi nya sangat bagus. yang menurut saya kurang adalah aplikasi ini pengelolaan nya sangat lama. verifikasi ini itu lama, bahkan update grafik nya juga lamaa banget harus tunggu seharian. pas malem banget biasanya baru update (sekitar jam 8 keatas) mungkin harus di up lagi kinerja nya",2
1808,"applikasi reksadana yang mudah digunakan,",5
1809,"Easy to use, small investment, great application for entry level investor",5
1810,Easy use and this all very grateful!! Thank you!!,5
1811,ok,5
1812,"So impressed by their costumer service. Asked a question at 1 am and got an answer like 3 seconds after. Great experience so far, keep it up, Bibit! *also your costumer service really deserves a payraise LOL",5
1813,thank you Jesus,5
1814,good,5
1815,"Bener2 mudah, aku sukaaaa banget!",5
1816,Easy UI and Great Features,5
1817,"Bantu untuk mudah berinvestasi reksadana. Aplikasi mudah digunakan, fitur sederhana tapi fungsional dan informatif melayani pertanyaan.",5
1818,sedang belajar. dan adanya app ini jadi sangat amat terbantu. terpercaya pula. pokoknya smoga tetap amanah 👍,5
1819,Beginner friendly,4
1820,"excellent apps, free admin fee.",5
1821,good for beginners,5
1822,"Gak lagi beli reksa dana pake gopay, ada voucher cashback tapi cashbacknya malah gak ada padahal semua syarat udah bener. Dan kalau bisa buat informasi sisa cashback, misal kalau sehari kuota cash back 1.500, itu di kasih informasi sisa kuota nya berapa.",2
1823,Im watching,3
